Event, Value, Timestamp
Cook beans, 1, 2020-03-01T19:36:59.120+01:00
Cook beans, 1, 2020-03-01T19:36:59.131+01:00
Drain beans, 1, 2020-03-01T19:36:59.156+01:00
Drain beans, 1, 2020-03-01T19:36:59.168+01:00
Drain beans, 1, 2020-03-01T19:36:59.180+01:00
Drain beans, 1, 2020-03-01T19:36:59.192+01:00
Drain beans, 1, 2020-03-01T19:36:59.204+01:00
Drain beans, 1, 2020-03-01T19:36:59.215+01:00
Drain beans, 1, 2020-03-01T19:36:59.227+01:00
Drain beans, 1, 2020-03-01T19:36:59.239+01:00
Drain beans, 1, 2020-03-01T19:36:59.250+01:00
Drain beans, 1, 2020-03-01T19:36:59.261+01:00
Pass pods through batter, 1, 2020-03-01T19:36:59.295+01:00
Pass pods through batter, 1, 2020-03-01T19:36:59.307+01:00
Pass pods through batter, 1, 2020-03-01T19:36:59.320+01:00
Pass pods through batter, 1, 2020-03-01T19:36:59.333+01:00
Pass pods through batter, 1, 2020-03-01T19:36:59.344+01:00
Pass pods through batter, 1, 2020-03-01T19:36:59.356+01:00
Pass pods through batter, 1, 2020-03-01T19:36:59.367+01:00
Pass pods through batter, 1, 2020-03-01T19:36:59.379+01:00
Pass pods through batter, 1, 2020-03-01T19:36:59.390+01:00
Pass pods through batter, 1, 2020-03-01T19:36:59.400+01:00
Fry pods, 1, 2020-03-01T19:36:59.423+01:00
Fry pods, 1, 2020-03-01T19:36:59.434+01:00
Fry pods, 1, 2020-03-01T19:36:59.445+01:00
Fry pods, 1, 2020-03-01T19:36:59.455+01:00
Fry pods, 1, 2020-03-01T19:36:59.466+01:00
Fry pods, 1, 2020-03-01T19:36:59.477+01:00
Fry pods, 1, 2020-03-01T19:36:59.488+01:00
Fry pods, 1, 2020-03-01T19:36:59.499+01:00
Fry pods, 1, 2020-03-01T19:36:59.510+01:00
Fry pods, 1, 2020-03-01T19:36:59.521+01:00
