Event, Value, Timestamp
Pass pods through batter, 1, 2020-02-28T00:59:59.277Z
Pass pods through batter, 1, 2020-02-28T00:59:59.287Z
Pass pods through batter, 1, 2020-02-28T00:59:59.297Z
Pass pods through batter, 1, 2020-02-28T00:59:59.308Z
Fry pods, 1, 2020-02-28T00:59:59.331Z
Fry pods, 1, 2020-02-28T00:59:59.342Z
Fry pods, 1, 2020-02-28T00:59:59.352Z
Fry pods, 1, 2020-02-28T00:59:59.363Z
Fry pods, 1, 2020-02-28T00:59:59.373Z
Fry pods, 1, 2020-02-28T00:59:59.385Z
Fry pods, 1, 2020-02-28T00:59:59.396Z
Fry pods, 1, 2020-02-28T00:59:59.407Z
Fry pods, 1, 2020-02-28T00:59:59.419Z
Fry pods, 1, 2020-02-28T00:59:59.432Z
