Event, Value, Timestamp
Pass pods through batter, 1, 2020-02-28T00:52:30.533Z
Pass pods through batter, 1, 2020-02-28T00:52:30.543Z
Pass pods through batter, 1, 2020-02-28T00:52:30.553Z
Pass pods through batter, 1, 2020-02-28T00:52:30.564Z
Fry pods, 1, 2020-02-28T00:52:30.588Z
Fry pods, 1, 2020-02-28T00:52:30.599Z
Fry pods, 1, 2020-02-28T00:52:30.609Z
Fry pods, 1, 2020-02-28T00:52:30.621Z
Fry pods, 1, 2020-02-28T00:52:30.631Z
Fry pods, 1, 2020-02-28T00:52:30.643Z
Fry pods, 1, 2020-02-28T00:52:30.655Z
Fry pods, 1, 2020-02-28T00:52:30.667Z
Fry pods, 1, 2020-02-28T00:52:30.677Z
Fry pods, 1, 2020-02-28T00:52:30.690Z
